season,matchweek,home_club,away_club,final_score,goal_club,goal_scorer,minute
1992-1993,1,Arsenal,Norwich,2:4,Arsenal,Steve Bould,28
1992-1993,1,Arsenal,Norwich,2:4,Arsenal,Kevin Campbell,39
1992-1993,1,Arsenal,Norwich,2:4,Norwich,Mark Robins,69
1992-1993,1,Arsenal,Norwich,2:4,Norwich,David Phillips,72
1992-1993,1,Arsenal,Norwich,2:4,Norwich,Ruel Fox,82
1992-1993,1,Arsenal,Norwich,2:4,Norwich,Mark Robins,84
1992-1993,1,Chelsea,Oldham Athletic,1:1,Chelsea,Mick Harford,84
1992-1993,1,Chelsea,Oldham Athletic,1:1,Oldham Athletic,Nick Henry,86
1992-1993,1,Coventry,Middlesbrough,2:1,Coventry,John Williams,9
1992-1993,1,Coventry,Middlesbrough,2:1,Coventry,David Smith,51
1992-1993,1,Coventry,Middlesbrough,2:1,Middlesbrough,Paul Wilkinson,63
1992-1993,1,Crystal Palace,Blackburn,3:3,Crystal Palace,Mark Bright,37
1992-1993,1,Crystal Palace,Blackburn,3:3,Blackburn,Stuart Ripley,42
1992-1993,1,Crystal Palace,Blackburn,3:3,Crystal Palace,Gareth Southgate,63
1992-1993,1,Crystal Palace,Blackburn,3:3,Blackburn,Alan Shearer,66
1992-1993,1,Crystal Palace,Blackburn,3:3,Blackburn,Alan Shearer,81
1992-1993,1,Crystal Palace,Blackburn,3:3,Crystal Palace,Simon Osborn,90
1992-1993,1,Everton,Sheff Wed,1:1,Sheff Wed,Nigel Pearson,15
1992-1993,1,Everton,Sheff Wed,1:1,Everton,Barry Horne,44
1992-1993,1,Ipswich,Aston Villa,1:1,Ipswich,Gavin Johnson,31
1992-1993,1,Ipswich,Aston Villa,1:1,Aston Villa,Dalian Atkinson,84
1992-1993,1,Leeds,Wimbledon FC,2:1,Leeds,Lee Chapman,14
1992-1993,1,Leeds,Wimbledon FC,2:1,Wimbledon FC,Warren Barton,76
1992-1993,1,Leeds,Wimbledon FC,2:1,Leeds,Lee Chapman,86
1992-1993,1,Sheff Utd,Man Utd,2:1,Sheff Utd,Brian Deane,5
1992-1993,1,Sheff Utd,Man Utd,2:1,Sheff Utd,Brian Deane,50
1992-1993,1,Sheff Utd,Man Utd,2:1,Man Utd,Mark Hughes,61
1992-1993,1,Nottm Forest,Liverpool,1:0,Nottm Forest,Teddy Sheringham,29
1992-1993,1,Man City,QPR,1:1,Man City,David White,37
1992-1993,1,Man City,QPR,1:1,QPR,Andy Sinton,47
1992-1993,2,Blackburn,Arsenal,1:0,Blackburn,Alan Shearer,84
1992-1993,2,Wimbledon FC,Ipswich,0:1,Ipswich,Gavin Johnson,37
1992-1993,2,Aston Villa,Leeds,1:1,Aston Villa,Dalian Atkinson,77
1992-1993,2,Aston Villa,Leeds,1:1,Leeds,Gary Speed,84
1992-1993,2,Liverpool,Sheff Utd,2:1,Sheff Utd,Brian Deane,35
1992-1993,2,Liverpool,Sheff Utd,2:1,Liverpool,Mark Walters,43
1992-1993,2,Liverpool,Sheff Utd,2:1,Liverpool,Paul Stewart,65
1992-1993,2,Man Utd,Everton,0:3,Everton,Peter Beardsley,45
1992-1993,2,Man Utd,Everton,0:3,Everton,Robert Warzycha,80
1992-1993,2,Man Utd,Everton,0:3,Everton,Mo Johnston,90
1992-1993,2,Middlesbrough,Man City,2:0,Middlesbrough,Bernie Slaven,15
1992-1993,2,Middlesbrough,Man City,2:0,Middlesbrough,Bernie Slaven,17
1992-1993,2,Norwich,Chelsea,2:1,Chelsea,Graham Stuart,15
1992-1993,2,Norwich,Chelsea,2:1,Norwich,David Phillips,57
1992-1993,2,Norwich,Chelsea,2:1,Norwich,Mark Robins,59
1992-1993,2,Oldham Athletic,Crystal Palace,1:1,Oldham Athletic,Graeme Sharp,16
1992-1993,2,Oldham Athletic,Crystal Palace,1:1,Crystal Palace,Eddie McGoldrick,50
1992-1993,2,QPR,Southampton,3:1,Southampton,Matt Le Tissier,31
1992-1993,2,QPR,Southampton,3:1,QPR,Les Ferdinand,58
1992-1993,2,QPR,Southampton,3:1,QPR,David Bardsley,70
1992-1993,2,QPR,Southampton,3:1,QPR,Les Ferdinand,86
1992-1993,2,Sheff Wed,Nottm Forest,2:0,Sheff Wed,David Hirst,16
1992-1993,2,Sheff Wed,Nottm Forest,2:0,Sheff Wed,David Hirst,78
1992-1993,2,Spurs,Coventry,0:2,Coventry,John Williams,4
1992-1993,2,Spurs,Coventry,0:2,Coventry,John Williams,29
1992-1993,3,Aston Villa,Southampton,1:1,Aston Villa,Dalian Atkinson,64
1992-1993,3,Aston Villa,Southampton,1:1,Southampton,Micky Adams,79
1992-1993,3,Blackburn,Man City,1:0,Blackburn,Mike Newell,69
1992-1993,3,Man Utd,Ipswich,1:1,Ipswich,Chris Kiwomya,56
1992-1993,3,Man Utd,Ipswich,1:1,Man Utd,Denis Irwin,57
1992-1993,3,Middlesbrough,Leeds,4:1,Middlesbrough,Paul Wilkinson,7
1992-1993,3,Middlesbrough,Leeds,4:1,Middlesbrough,Paul Wilkinson,8
1992-1993,3,Middlesbrough,Leeds,4:1,Middlesbrough,Tommy Wright,47
1992-1993,3,Middlesbrough,Leeds,4:1,Middlesbrough,John Hendrie,59
1992-1993,3,Middlesbrough,Leeds,4:1,Leeds,Eric Cantona,68
1992-1993,3,Norwich,Everton,1:1,Everton,Peter Beardsley,55
1992-1993,3,Norwich,Everton,1:1,Norwich,Ruel Fox,67
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,Oldham Athletic,Neil Adams,31
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,Oldham Athletic,Graeme Sharp,38
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,Oldham Athletic,Nick Henry,44
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,Oldham Athletic,Gunnar Halle,46
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,Oldham Athletic,Paul Bernard,59
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,Nottm Forest,Stuart Pearce,66
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,Nottm Forest,Gary Bannister,86
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,Nottm Forest,Gary Bannister,88
1992-1993,3,QPR,Sheff Utd,3:2,QPR,Les Ferdinand,3
1992-1993,3,QPR,Sheff Utd,3:2,Sheff Utd,Alan Cork,4
1992-1993,3,QPR,Sheff Utd,3:2,QPR,Simon Barker,14
1992-1993,3,QPR,Sheff Utd,3:2,Sheff Utd,Brian Deane,63
1992-1993,3,QPR,Sheff Utd,3:2,QPR,Dennis Bailey,84
1992-1993,3,Sheff Wed,Chelsea,3:3,Sheff Wed,David Hirst,27
1992-1993,3,Sheff Wed,Chelsea,3:3,Sheff Wed,David Hirst,37
1992-1993,3,Sheff Wed,Chelsea,3:3,Chelsea,Vinnie Jones,49
1992-1993,3,Sheff Wed,Chelsea,3:3,Chelsea,Graham Stuart,57
1992-1993,3,Sheff Wed,Chelsea,3:3,Chelsea,Eddie Newton,64
1992-1993,3,Sheff Wed,Chelsea,3:3,Sheff Wed,Danny Wilson,81
1992-1993,3,Spurs,Crystal Palace,2:2,Spurs,Gordon Durie,16
1992-1993,3,Spurs,Crystal Palace,2:2,Crystal Palace,Eddie McGoldrick,21
1992-1993,3,Spurs,Crystal Palace,2:2,Crystal Palace,Eric Young,80
1992-1993,3,Spurs,Crystal Palace,2:2,Spurs,Steve Sedgley,88
1992-1993,3,Wimbledon FC,Coventry,1:2,Coventry,Micky Gynn,13
1992-1993,3,Wimbledon FC,Coventry,1:2,Coventry,Robert Rosario,46
1992-1993,3,Wimbledon FC,Coventry,1:2,Wimbledon FC,Dean Holdsworth,73
1992-1993,3,Liverpool,Arsenal,0:2,Arsenal,Anders Limpar,53
1992-1993,3,Liverpool,Arsenal,0:2,Arsenal,Ian Wright,80
1992-1993,4,Southampton,Man Utd,0:1,Man Utd,Dion Dublin,89
1992-1993,4,Crystal Palace,Sheff Wed,1:1,Crystal Palace,Eric Young,41
1992-1993,4,Crystal Palace,Sheff Wed,1:1,Sheff Wed,Paul Williams,66
1992-1993,4,Everton,Aston Villa,1:0,Everton,Mo Johnston,88
1992-1993,4,Ipswich,Liverpool,2:2,Liverpool,Mark Walters,39
1992-1993,4,Ipswich,Liverpool,2:2,Ipswich,Jason Dozzell,56
1992-1993,4,Ipswich,Liverpool,2:2,Liverpool,Jan Molby,70
1992-1993,4,Ipswich,Liverpool,2:2,Ipswich,Chris Kiwomya,90
1992-1993,4,Leeds,Spurs,5:0,Leeds,Rod Wallace,19
1992-1993,4,Leeds,Spurs,5:0,Leeds,Eric Cantona,26
1992-1993,4,Leeds,Spurs,5:0,Leeds,Eric Cantona,31
1992-1993,4,Leeds,Spurs,5:0,Leeds,Eric Cantona,46
1992-1993,4,Leeds,Spurs,5:0,Leeds,Lee Chapman,66
1992-1993,4,Sheff Utd,Wimbledon FC,2:2,Wimbledon FC,Warren Barton,34
1992-1993,4,Sheff Utd,Wimbledon FC,2:2,Sheff Utd,Paul Beesley,48
1992-1993,4,Sheff Utd,Wimbledon FC,2:2,Sheff Utd,Glyn Hodges,67
1992-1993,4,Sheff Utd,Wimbledon FC,2:2,Wimbledon FC,Dean Holdsworth,74
1992-1993,4,Arsenal,Oldham Athletic,2:0,Arsenal,Nigel Winterburn,25
1992-1993,4,Arsenal,Oldham Athletic,2:0,Arsenal,Ian Wright,31
1992-1993,4,Coventry,QPR,0:1,QPR,Andy Impey,45
1992-1993,4,Man City,Norwich,3:1,Man City,David White,45
1992-1993,4,Man City,Norwich,3:1,Norwich,Gary Megson,58
1992-1993,4,Man City,Norwich,3:1,Man City,David White,80
1992-1993,4,Man City,Norwich,3:1,Man City,Steve McMahon,90
1992-1993,4,Nottm Forest,Middlesbrough,1:0,Nottm Forest,Kingsley Black,66
1992-1993,5,Arsenal,Sheff Wed,2:1,Arsenal,Ray Parlour,8
1992-1993,5,Arsenal,Sheff Wed,2:1,Arsenal,Paul Merson,27
1992-1993,5,Arsenal,Sheff Wed,2:1,Sheff Wed,David Hirst,33
1992-1993,5,Chelsea,QPR,1:0,Chelsea,Mick Harford,59
1992-1993,5,Coventry,Blackburn,0:2,Blackburn,Alan Shearer,69
1992-1993,5,Coventry,Blackburn,0:2,Blackburn,Mark Atkins,79
1992-1993,5,Crystal Palace,Norwich,1:2,Norwich,Lee Power,16
1992-1993,5,Crystal Palace,Norwich,1:2,Crystal Palace,Eddie McGoldrick,20
1992-1993,5,Crystal Palace,Norwich,1:2,Norwich,David Phillips,74
1992-1993,5,Leeds,Liverpool,2:2,Leeds,Gary McAllister,7
1992-1993,5,Leeds,Liverpool,2:2,Liverpool,Ronnie Whelan,44
1992-1993,5,Leeds,Liverpool,2:2,Liverpool,Jan Molby,70
1992-1993,5,Leeds,Liverpool,2:2,Leeds,Lee Chapman,87
1992-1993,5,Man City,Oldham Athletic,3:3,Man City,Niall Quinn,4
1992-1993,5,Man City,Oldham Athletic,3:3,Man City,Michel Vonk,8
1992-1993,5,Man City,Oldham Athletic,3:3,Oldham Athletic,Richard Jobson,11
1992-1993,5,Man City,Oldham Athletic,3:3,Man City,David White,23
1992-1993,5,Man City,Oldham Athletic,3:3,Oldham Athletic,Mike Milligan,29
1992-1993,5,Man City,Oldham Athletic,3:3,Oldham Athletic,Gunnar Halle,38
1992-1993,5,Nottm Forest,Man Utd,0:2,Man Utd,Mark Hughes,17
1992-1993,5,Nottm Forest,Man Utd,0:2,Man Utd,Ryan Giggs,50
1992-1993,5,Sheff Utd,Aston Villa,0:2,Aston Villa,Garry Parker,2
1992-1993,5,Sheff Utd,Aston Villa,0:2,Aston Villa,Garry Parker,86
1992-1993,5,Southampton,Middlesbrough,2:1,Middlesbrough,Paul Wilkinson,75
1992-1993,5,Southampton,Middlesbrough,2:1,Southampton,Matt Le Tissier,80
1992-1993,5,Southampton,Middlesbrough,2:1,Southampton,Nicky Banger,83
1992-1993,5,Ipswich,Spurs,1:1,Spurs,Jason Cundy,29
1992-1993,5,Ipswich,Spurs,1:1,Ipswich,John Wark,45
1992-1993,6,Norwich,Nottm Forest,3:1,Norwich,Ian Crook,2
1992-1993,6,Norwich,Nottm Forest,3:1,Nottm Forest,Nigel Clough,31
1992-1993,6,Norwich,Nottm Forest,3:1,Norwich,Lee Power,76
1992-1993,6,Norwich,Nottm Forest,3:1,Norwich,David Phillips,89
1992-1993,6,Liverpool,Southampton,1:1,Southampton,Kerry Dixon,51
1992-1993,6,Liverpool,Southampton,1:1,Liverpool,Mark Wright,60
1992-1993,6,Middlesbrough,Ipswich,2:2,Ipswich,John Wark,26
1992-1993,6,Middlesbrough,Ipswich,2:2,Middlesbrough,Alan Kernaghan,54
1992-1993,6,Middlesbrough,Ipswich,2:2,Ipswich,Paul Goddard,59
1992-1993,6,Middlesbrough,Ipswich,2:2,Middlesbrough,Paul Wilkinson,82
1992-1993,6,Oldham Athletic,Leeds,2:2,Leeds,Eric Cantona,53
1992-1993,6,Oldham Athletic,Leeds,2:2,Leeds,Eric Cantona,76
1992-1993,6,Oldham Athletic,Leeds,2:2,Oldham Athletic,Ian Olney,85
1992-1993,6,Oldham Athletic,Leeds,2:2,Oldham Athletic,Ian Olney,90
1992-1993,6,Wimbledon FC,Man City,0:1,Man City,David White,49
1992-1993,6,Aston Villa,Chelsea,1:3,Aston Villa,Kevin Richardson,30
1992-1993,6,Aston Villa,Chelsea,1:3,Chelsea,Robert Fleck,40
1992-1993,6,Aston Villa,Chelsea,1:3,Chelsea,Eddie Newton,42
1992-1993,6,Aston Villa,Chelsea,1:3,Chelsea,Dennis Wise,57
1992-1993,6,Man Utd,Crystal Palace,1:0,Man Utd,Mark Hughes,88
1992-1993,6,Sheff Wed,Coventry,1:2,Coventry,Peter Ndlovu,42
1992-1993,6,Sheff Wed,Coventry,1:2,Coventry,Lee Hurst,49
1992-1993,6,Sheff Wed,Coventry,1:2,Sheff Wed,Chris Bart Williams,62
1992-1993,6,Spurs,Sheff Utd,2:0,Spurs,Teddy Sheringham,43
1992-1993,6,Spurs,Sheff Utd,2:0,Spurs,Gordon Durie,46
1992-1993,6,Blackburn,Everton,2:3,Blackburn,Alan Shearer,12
1992-1993,6,Blackburn,Everton,2:3,Everton,Tony Cottee,22
1992-1993,6,Blackburn,Everton,2:3,Everton,John Ebbrell,39
1992-1993,6,Blackburn,Everton,2:3,Blackburn,Alan Shearer,74
1992-1993,6,Blackburn,Everton,2:3,Everton,Tony Cottee,81
1992-1993,7,Aston Villa,Crystal Palace,3:0,Aston Villa,Dwight Yorke,18
1992-1993,7,Aston Villa,Crystal Palace,3:0,Aston Villa,Steve Staunton,42
1992-1993,7,Aston Villa,Crystal Palace,3:0,Aston Villa,Steve Froggatt,72
1992-1993,7,Blackburn,Nottm Forest,4:1,Blackburn,Alan Shearer,3
1992-1993,7,Blackburn,Nottm Forest,4:1,Nottm Forest,Gary Bannister,15
1992-1993,7,Blackburn,Nottm Forest,4:1,Blackburn,Mark Atkins,52
1992-1993,7,Blackburn,Nottm Forest,4:1,Blackburn,Alan Shearer,59
1992-1993,7,Blackburn,Nottm Forest,4:1,Blackburn,Mark Crossley,62
1992-1993,7,Liverpool,Chelsea,2:1,Liverpool,Dean Saunders,27
1992-1993,7,Liverpool,Chelsea,2:1,Chelsea,Mick Harford,72
1992-1993,7,Liverpool,Chelsea,2:1,Liverpool,Jamie Redknapp,89
1992-1993,7,Middlesbrough,Sheff Utd,2:0,Middlesbrough,Willie Falconer,35
1992-1993,7,Middlesbrough,Sheff Utd,2:0,Middlesbrough,Tommy Wright,83
1992-1993,7,Norwich,Southampton,1:0,Norwich,Mark Robins,87
1992-1993,7,Oldham Athletic,Coventry,0:1,Coventry,Kevin Gallacher,55
1992-1993,7,Sheff Wed,Man City,0:3,Man City,David White,20
1992-1993,7,Sheff Wed,Man City,0:3,Man City,David White,55
1992-1993,7,Sheff Wed,Man City,0:3,Man City,Michel Vonk,75
1992-1993,7,Spurs,Everton,2:1,Everton,Peter Beardsley,42
1992-1993,7,Spurs,Everton,2:1,Spurs,Paul Allen,79
1992-1993,7,Spurs,Everton,2:1,Spurs,Andy Turner,90
1992-1993,7,Wimbledon FC,Arsenal,3:2,Arsenal,Ian Wright,34
1992-1993,7,Wimbledon FC,Arsenal,3:2,Wimbledon FC,Lawrie Sanchez,39
1992-1993,7,Wimbledon FC,Arsenal,3:2,Wimbledon FC,John Fashanu,80
1992-1993,7,Wimbledon FC,Arsenal,3:2,Arsenal,Ian Wright,82
1992-1993,7,Wimbledon FC,Arsenal,3:2,Wimbledon FC,Robbie Earle,86
1992-1993,7,Man Utd,Leeds,2:0,Man Utd,Andrey Kanchelskis,28
1992-1993,7,Man Utd,Leeds,2:0,Man Utd,Steve Bruce,44
1992-1993,8,Arsenal,Blackburn,0:1,Blackburn,Mike Newell,71
1992-1993,8,Chelsea,Norwich,2:3,Chelsea,Mick Harford,2
1992-1993,8,Chelsea,Norwich,2:3,Chelsea,Andy Townsend,29
1992-1993,8,Chelsea,Norwich,2:3,Norwich,Mark Robins,46
1992-1993,8,Chelsea,Norwich,2:3,Norwich,Mark Robins,74
1992-1993,8,Chelsea,Norwich,2:3,Norwich,David Phillips,79
1992-1993,8,Crystal Palace,Oldham Athletic,2:2,Oldham Athletic,Ian Olney,19
1992-1993,8,Crystal Palace,Oldham Athletic,2:2,Crystal Palace,Chris Armstrong,64
1992-1993,8,Crystal Palace,Oldham Athletic,2:2,Crystal Palace,Chris Armstrong,66
1992-1993,8,Crystal Palace,Oldham Athletic,2:2,Oldham Athletic,Graeme Sharp,78
1992-1993,8,Everton,Man Utd,0:2,Man Utd,Brian McClair,29
1992-1993,8,Everton,Man Utd,0:2,Man Utd,Steve Bruce,76
1992-1993,8,Ipswich,Wimbledon FC,2:1,Ipswich,Mick Stockwell,14
1992-1993,8,Ipswich,Wimbledon FC,2:1,Wimbledon FC,Dean Holdsworth,27
1992-1993,8,Ipswich,Wimbledon FC,2:1,Ipswich,Mick Stockwell,48
1992-1993,8,Man City,Middlesbrough,0:1,Middlesbrough,Garry Flitcroft,42
1992-1993,8,Nottm Forest,Sheff Wed,1:2,Sheff Wed,Paul Warhurst,39
1992-1993,8,Nottm Forest,Sheff Wed,1:2,Sheff Wed,Graham Hyde,57
1992-1993,8,Nottm Forest,Sheff Wed,1:2,Nottm Forest,Gary Bannister,87
1992-1993,8,Sheff Utd,Liverpool,1:0,Sheff Utd,Adrian Littlejohn,4
1992-1993,8,Southampton,QPR,1:2,Southampton,Matt Le Tissier,11
1992-1993,8,Southampton,QPR,1:2,QPR,Andy Sinton,53
1992-1993,8,Southampton,QPR,1:2,QPR,Justin Channing,56
1992-1993,8,Leeds,Aston Villa,1:1,Aston Villa,Garry Parker,19
1992-1993,8,Leeds,Aston Villa,1:1,Leeds,Steve Hodge,85
1992-1993,8,Coventry,Spurs,1:0,Coventry,John Williams,61
1992-1993,9,Aston Villa,Liverpool,4:2,Liverpool,Mark Walters,43
1992-1993,9,Aston Villa,Liverpool,4:2,Aston Villa,Dean Saunders,44
1992-1993,9,Aston Villa,Liverpool,4:2,Aston Villa,Dalian Atkinson,54
1992-1993,9,Aston Villa,Liverpool,4:2,Aston Villa,Dean Saunders,66
1992-1993,9,Aston Villa,Liverpool,4:2,Aston Villa,Garry Parker,78
1992-1993,9,Aston Villa,Liverpool,4:2,Liverpool,Ronny Rosenthal,84
1992-1993,9,Everton,Crystal Palace,0:2,Crystal Palace,Chris Armstrong,8
1992-1993,9,Everton,Crystal Palace,0:2,Crystal Palace,Chris Armstrong,17
1992-1993,9,Norwich,Sheff Wed,1:0,Norwich,Rob Newman,44
1992-1993,9,Oldham Athletic,Ipswich,4:2,Oldham Athletic,Ian Marshall,32
1992-1993,9,Oldham Athletic,Ipswich,4:2,Oldham Athletic,Graeme Sharp,53
1992-1993,9,Oldham Athletic,Ipswich,4:2,Oldham Athletic,Gunnar Halle,56
1992-1993,9,Oldham Athletic,Ipswich,4:2,Ipswich,John Wark,75
1992-1993,9,Oldham Athletic,Ipswich,4:2,Oldham Athletic,Nick Henry,82
1992-1993,9,Oldham Athletic,Ipswich,4:2,Ipswich,Neil Thompson,88
1992-1993,9,QPR,Middlesbrough,3:3,Middlesbrough,Alan Kernaghan,37
1992-1993,9,QPR,Middlesbrough,3:3,QPR,Les Ferdinand,57
1992-1993,9,QPR,Middlesbrough,3:3,Middlesbrough,Tommy Wright,58
1992-1993,9,QPR,Middlesbrough,3:3,QPR,Gary Penrice,73
1992-1993,9,QPR,Middlesbrough,3:3,Middlesbrough,Willie Falconer,86
1992-1993,9,QPR,Middlesbrough,3:3,QPR,Andy Sinton,90
1992-1993,9,Sheff Utd,Arsenal,1:1,Sheff Utd,Dane Whitehouse,48
1992-1993,9,Sheff Utd,Arsenal,1:1,Arsenal,Ian Wright,85
1992-1993,9,Southampton,Leeds,1:1,Southampton,Perry Groves,43
1992-1993,9,Southampton,Leeds,1:1,Leeds,Gary Speed,83
1992-1993,9,Spurs,Man Utd,1:1,Man Utd,Ryan Giggs,45
1992-1993,9,Spurs,Man Utd,1:1,Spurs,Gordon Durie,52
1992-1993,9,Wimbledon FC,Blackburn,1:1,Wimbledon FC,Neal Ardley,24
1992-1993,9,Wimbledon FC,Blackburn,1:1,Blackburn,Alan Shearer,32
1992-1993,9,Man City,Chelsea,0:1,Chelsea,Mick Harford,40
1992-1993,9,Nottm Forest,Coventry,1:1,Coventry,Robert Rosario,45
1992-1993,9,Nottm Forest,Coventry,1:1,Nottm Forest,Nigel Clough,69
1992-1993,10,Blackburn,Oldham Athletic,2:0,Blackburn,Alan Shearer,30
1992-1993,10,Blackburn,Oldham Athletic,2:0,Blackburn,Stuart Ripley,61
1992-1993,10,Coventry,Norwich,1:1,Norwich,Ian Crook,13
1992-1993,10,Coventry,Norwich,1:1,Coventry,Peter Ndlovu,37
1992-1993,10,Crystal Palace,Southampton,1:2,Southampton,Iain Dowie,44
1992-1993,10,Crystal Palace,Southampton,1:2,Crystal Palace,Eric Young,54
1992-1993,10,Crystal Palace,Southampton,1:2,Southampton,Iain Dowie,88
1992-1993,10,Leeds,Everton,2:0,Leeds,Gary McAllister,61
1992-1993,10,Leeds,Everton,2:0,Leeds,Lee Chapman,63
1992-1993,10,Middlesbrough,Aston Villa,2:3,Aston Villa,Dean Saunders,22
1992-1993,10,Middlesbrough,Aston Villa,2:3,Middlesbrough,Bernie Slaven,62
1992-1993,10,Middlesbrough,Aston Villa,2:3,Aston Villa,Dalian Atkinson,71
1992-1993,10,Middlesbrough,Aston Villa,2:3,Aston Villa,Dean Saunders,74
1992-1993,10,Middlesbrough,Aston Villa,2:3,Middlesbrough,Paul McGrath,86
1992-1993,10,Liverpool,Wimbledon FC,2:3,Wimbledon FC,John Fashanu,12
1992-1993,10,Liverpool,Wimbledon FC,2:3,Wimbledon FC,Robbie Earle,27
1992-1993,10,Liverpool,Wimbledon FC,2:3,Liverpool,Jan Molby,35
1992-1993,10,Liverpool,Wimbledon FC,2:3,Liverpool,Steve McManaman,39
1992-1993,10,Liverpool,Wimbledon FC,2:3,Wimbledon FC,Robbie Earle,76
1992-1993,10,Sheff Wed,Spurs,2:0,Sheff Wed,Mark Bright,6
1992-1993,10,Sheff Wed,Spurs,2:0,Sheff Wed,Viv Anderson,32
1992-1993,10,Arsenal,Man City,1:0,Arsenal,Ian Wright,19
1992-1993,11,Arsenal,Chelsea,2:1,Arsenal,Paul Merson,10
1992-1993,11,Arsenal,Chelsea,2:1,Chelsea,Dennis Wise,79
1992-1993,11,Arsenal,Chelsea,2:1,Arsenal,Ian Wright,85
1992-1993,11,Blackburn,Norwich,7:1,Blackburn,Roy Wegerle,8
1992-1993,11,Blackburn,Norwich,7:1,Blackburn,Tim Sherwood,27
1992-1993,11,Blackburn,Norwich,7:1,Blackburn,Roy Wegerle,32
1992-1993,11,Blackburn,Norwich,7:1,Norwich,Rob Newman,39
1992-1993,11,Blackburn,Norwich,7:1,Blackburn,Alan Shearer,43
1992-1993,11,Blackburn,Norwich,7:1,Blackburn,Gordon Cowans,63
1992-1993,11,Blackburn,Norwich,7:1,Blackburn,Stuart Ripley,70
1992-1993,11,Blackburn,Norwich,7:1,Blackburn,Alan Shearer,76
1992-1993,11,Coventry,Crystal Palace,2:2,Coventry,Andy Pearce,7
1992-1993,11,Coventry,Crystal Palace,2:2,Crystal Palace,Chris Coleman,8
1992-1993,11,Coventry,Crystal Palace,2:2,Coventry,Kevin Gallacher,18
1992-1993,11,Coventry,Crystal Palace,2:2,Crystal Palace,Eddie McGoldrick,39
1992-1993,11,Ipswich,Leeds,4:2,Ipswich,Chris Kiwomya,25
1992-1993,11,Ipswich,Leeds,4:2,Ipswich,John Wark,36
1992-1993,11,Ipswich,Leeds,4:2,Ipswich,John Wark,44
1992-1993,11,Ipswich,Leeds,4:2,Leeds,Lee Chapman,55
1992-1993,11,Ipswich,Leeds,4:2,Leeds,Gary Speed,64
1992-1993,11,Ipswich,Leeds,4:2,Ipswich,Jason Dozzell,70
1992-1993,11,Liverpool,Sheff Wed,1:0,Liverpool,Don Hutchison,80
1992-1993,11,Man City,Nottm Forest,2:2,Man City,Rick Holden,17
1992-1993,11,Man City,Nottm Forest,2:2,Nottm Forest,Ray McKinnon,56
1992-1993,11,Man City,Nottm Forest,2:2,Man City,Fitzroy Simpson,64
1992-1993,11,Man City,Nottm Forest,2:2,Nottm Forest,Stuart Pearce,83
1992-1993,11,Middlesbrough,Man Utd,1:1,Man Utd,Steve Bruce,43
1992-1993,11,Middlesbrough,Man Utd,1:1,Middlesbrough,Bernie Slaven,59
1992-1993,11,QPR,Spurs,4:1,Spurs,Teddy Sheringham,28
1992-1993,11,QPR,Spurs,4:1,QPR,Ian Holloway,52
1992-1993,11,QPR,Spurs,4:1,QPR,Ray Wilkins,59
1992-1993,11,QPR,Spurs,4:1,QPR,Gary Penrice,67
1992-1993,11,QPR,Spurs,4:1,QPR,Gary Penrice,79
1992-1993,11,Sheff Utd,Southampton,2:0,Sheff Utd,Dane Whitehouse,4
1992-1993,11,Sheff Utd,Southampton,2:0,Sheff Utd,Adrian Littlejohn,26
1992-1993,11,Wimbledon FC,Aston Villa,2:3,Aston Villa,Dean Saunders,5
1992-1993,11,Wimbledon FC,Aston Villa,2:3,Aston Villa,Dean Saunders,29
1992-1993,11,Wimbledon FC,Aston Villa,2:3,Wimbledon FC,Aidan Newhouse,34
1992-1993,11,Wimbledon FC,Aston Villa,2:3,Aston Villa,Dalian Atkinson,77
1992-1993,11,Wimbledon FC,Aston Villa,2:3,Wimbledon FC,Andy Clarke,90
1992-1993,11,Oldham Athletic,Everton,1:0,Oldham Athletic,Richard Jobson,8
1992-1993,12,Chelsea,Ipswich,2:1,Chelsea,Gareth Hall,28
1992-1993,12,Chelsea,Ipswich,2:1,Chelsea,Mick Harford,78
1992-1993,12,Chelsea,Ipswich,2:1,Ipswich,Steve Whitton,79
1992-1993,12,Everton,Coventry,1:1,Everton,Peter Beagrie,28
1992-1993,12,Everton,Coventry,1:1,Coventry,Peter Ndlovu,44
1992-1993,12,Leeds,Sheff Utd,3:1,Leeds,Lee Chapman,36
1992-1993,12,Leeds,Sheff Utd,3:1,Sheff Utd,Paul Beesley,53
1992-1993,12,Leeds,Sheff Utd,3:1,Leeds,Gary Speed,74
1992-1993,12,Leeds,Sheff Utd,3:1,Leeds,Chris Whyte,78
1992-1993,12,Norwich,QPR,2:1,Norwich,Mark Bowen,53
1992-1993,12,Norwich,QPR,2:1,Norwich,Chris Sutton,64
1992-1993,12,Norwich,QPR,2:1,QPR,Bradley Allen,77
1992-1993,12,Nottm Forest,Arsenal,0:1,Arsenal,Alan Smith,38
